# This data is from the Supporting Information of Kandler et al. (2011), see https://doi.org/10.1111/j.1600-0889.2011.00550.x
situation	wavelength (nm)	particle diameter d (µm)	0 <= k < 0.000025	0.000025 <= k < 0.00005	0.00005 <= k < 0.0001	0.0001 <= k < 0.0002	0.0002 <= k < 0.0004	0.0004 <= k < 0.0008	0.0008 <= k < 0.0016	0.0016 <= k < 0.0032	0.0032 <= k < 0.0064	0.0064 <= k < 0.0128	0.0128 <= k < 0.0256	0.0256 <= k < 0.0512	0.0512 <= k < 0.1024	0.1024 <= k < 0.2048	0.2048 <= k < 0.4096	0.4096 <= k < 0.8192	0.8192 <= k < 1.6384		1.48 <= n < 1.497	1.497 <= n < 1.514	1.514 <= n < 1.532	1.532 <= n < 1.55	1.55 <= n < 1.568	1.568 <= n < 1.586	1.586 <= n < 1.604	1.604 <= n < 1.623	1.623 <= n < 1.642	1.642 <= n < 1.661	1.661 <= n < 1.68	1.68 <= n < 1.699	1.699 <= n < 1.719	1.719 <= n < 1.929	1.929 <= n < 2.164	2.164 <= n < 2.428	2.428 <= n < 2.724	2.724 <= n < 3.057
dust	355	0.05 <= d < 0.1	25	0	1	2	50	49	1	7	63	26	8	0	10	3	3	0	0		0	0	33	6	185	15	1	2	2	0	0	1	1	2	0	0	0	0
dust	355	0.1 <= d < 0.141	87	0	0	14	103	53	8	56	119	56	15	2	32	9	3	0	0		0	0	113	62	342	22	3	1	4	3	2	0	1	2	0	0	0	2
dust	355	0.141 <= d < 0.2	130	0	9	28	133	47	9	77	123	57	17	5	27	8	2	0	0		0	0	154	148	335	21	3	0	1	0	5	2	0	2	0	0	0	1
dust	355	0.2 <= d < 0.283	65	0	17	92	160	25	38	145	157	68	19	7	6	3	0	0	0		0	0	34	388	336	37	2	2	1	0	1	1	0	0	0	0	0	0
dust	355	0.283 <= d < 0.4	132	0	21	33	43	19	10	47	53	42	17	14	13	18	3	2	14		0	0	102	163	135	26	14	1	1	1	1	2	1	3	2	14	0	1
dust	355	0.4 <= d < 0.566	259	0	15	14	26	33	3	12	23	50	30	11	16	11	5	2	12		0	0	193	116	127	42	6	1	1	4	0	5	1	6	0	12	1	3
dust	355	0.566 <= d < 0.8	277	0	11	29	64	77	2	1	17	82	59	25	8	11	3	0	7		0	0	179	116	241	82	12	2	1	4	2	14	1	2	1	7	1	3
dust	355	0.8 <= d < 1.13	389	1	7	69	106	227	0	1	33	195	146	39	12	12	3	1	12		0	0	247	161	556	186	18	5	11	8	4	35	2	4	0	12	1	3
dust	355	1.13 <= d < 1.6	456	2	12	74	171	390	0	4	42	283	310	49	16	10	3	0	10		0	0	250	192	889	347	42	9	10	11	9	54	2	2	0	10	0	1
dust	355	1.6 <= d < 2.26	289	1	15	50	120	294	1	8	47	328	337	48	9	10	2	3	2		0	0	128	129	793	390	39	10	6	10	11	37	0	3	2	2	2	0
dust	355	2.26 <= d < 3.2	203	4	14	22	42	156	0	17	72	293	307	39	14	12	4	1	1		0	0	52	69	602	363	33	14	9	11	16	17	1	3	1	1	2	5
dust	355	3.2 <= d < 4.53	263	8	18	10	33	89	3	49	163	441	445	108	22	11	7	1	3		0	0	30	78	748	588	67	27	9	20	30	57	2	5	2	4	2	1
dust	355	4.53 <= d < 6.4	102	7	7	4	13	23	4	85	156	398	384	91	11	12	2	0	0		0	0	11	45	556	529	51	16	13	15	27	28	0	2	1	0	2	0
dust	355	6.4 <= d < 9.05	53	2	2	2	8	8	16	69	111	255	227	48	13	9	3	0	0		0	0	4	30	378	328	30	8	9	9	8	17	0	3	0	0	1	1
dust	355	9.05 <= d < 12.8	106	5	2	1	4	4	27	86	132	188	113	29	12	10	1	1	0		0	0	2	82	375	180	24	11	5	10	18	10	0	1	2	1	0	0
dust	355	12.8 <= d < 18.1	62	1	0	3	1	7	19	78	128	200	108	36	10	5	0	0	0		0	0	2	53	352	183	31	12	4	8	3	7	0	0	0	1	1	1
dust	355	18.1 <= d < 25.6	10	0	0	1	1	0	9	22	35	76	68	22	2	1	0	0	0		0	0	0	7	112	103	15	4	0	3	2	1	0	0	0	0	0	0
dust	355	25.6 <= d < 36.2	2	0	0	0	0	1	0	1	5	19	21	7	0	0	0	0	0		0	0	0	2	16	32	5	1	0	0	0	0	0	0	0	0	0	0

dust	380	0.05 <= d < 0.1	25	1	2	50	49	0	1	7	55	33	9	0	10	2	4	0	0		0	0	25	14	185	16	0	2	2	0	0	1	1	2	0	0	0	0
dust	380	0.1 <= d < 0.141	87	0	14	103	53	0	7	56	109	63	19	2	34	7	3	0	0		0	0	87	88	344	20	3	1	4	3	2	0	1	2	0	0	1	1
dust	380	0.141 <= d < 0.2	130	9	28	133	47	0	9	73	123	60	18	5	28	7	2	0	0		0	0	128	177	338	15	3	0	1	1	4	2	0	2	0	0	0	1
